"Id,Pos.,Nombre,Nacionalidad,Partidos,Goles,Debut,Equipo(s)"
"0,1,Ever Hugo Almeida,Uruguay UruguayParaguay Paraguay,113,1,1973, Olimpia"
"1,2,Sergio Aquino,Paraguay Paraguay,107,7,2001, Cerro Porteño (16) Libertad (91)"
"2,3,Fábio,Brasil Brasil,100,0,2001, Vasco da Gama (2) Cruzeiro (81) Fluminense (17)"
"3,4,Vladimir Soria,Bolivia Bolivia,96,5,1982, Bolívar (3) Jorge Wilstermann (93)"
"4,9,Enzo Pérez, Argentina,96,6,2008, Estudiantes (36) River Plate (60),"
"5,6,Andrés D'Alessandro, Argentina,95,14,2001, River Plate (28) San Lorenzo (9) Internacional (54) Nacional (4)"
"6,7,Antony de Ávila,Colombia Colombia,94,29,1983, América de Cali (87) Barcelona (7)"
"7,8,Lucas Pratto, Argentina,93,30,2011, Universidad Católica (10) Vélez Sarsfield (33) Atlético Mineiro (16) River Plate (34)"
"8,9,Willington Ortiz,Colombia Colombia,92,19,1973, Millonarios (27) Deportivo Cali (8) América de Cali (57)"
"9,6,Martín Silva,Uruguay Uruguay,92,0,2007, Defensor Sporting (20) Olimpia (22) Vasco da Gama (10) Libertad (40),"
"10,11,Rogério Ceni,Brasil Brasil,90,14,2004, São Paulo"
